strategy,tv_symbol,date,db_equity,existing_close,forensic_close,diff,diff_pct
QQQ_Daily,QQQD,2026-04-09,22093.12,22093.12,22093.12,0.0,0.0
QQQ_Daily,QQQD,2026-04-10,22110.04,22106.8,22110.04,3.2400000000016007,0.014656123907583191
QQQ_Daily,QQQD,2026-04-13,22237.840000000004,22335.04052734375,22237.840000000004,-97.20052734374622,-0.4351929750239232
QQQ_Daily,QQQD,2026-04-14,22737.52,22724.2,22737.52,13.319999999999709,0.058615924873041556
QQQ_Daily,QQQD,2026-04-15,23058.279296875,23031.28,23058.279296875,26.999296875001164,0.11722881609272766
QQQ_Daily,QQQD,2026-04-16,23165.920000000002,23139.64,23165.920000000002,26.280000000002474,0.11357134337441063
QQQ_Daily,QQQD,2026-04-17,23465.079999999998,23473.0,23465.079999999998,-7.920000000001892,-0.03374089379287647
QQQ_Daily,QQQD,2026-04-20,23390.56,23392.0,23390.56,-1.4399999999986903,-0.006155950752388383
QQQ_Daily,QQQD,2026-04-21,23304.52,23304.88,23304.52,-0.3600000000005821,-0.0015447408439802396
QQQ_Lev_Daily,QQQL,2026-03-23,20349.77,20349.77,20349.77,0.0,0.0
QQQ_Lev_Daily,QQQL,2026-03-24,20776.829999999998,20763.73,20776.829999999998,13.099999999998545,0.06309078378498731
QQQ_Lev_Daily,QQQL,2026-03-25,20213.529999999995,20213.529999999995,20213.529999999995,0.0,0.0
QQQ_Lev_Daily,QQQL,2026-03-26,21450.184231170482,21450.18423117048,21450.184231170482,3.637978807091713e-12,1.6960128490668905e-14
QQQ_Lev_Daily,QQQL,2026-03-27,21472.410955193573,21472.410955193573,21472.410955193573,0.0,0.0
QQQ_Lev_Daily,QQQL,2026-03-30,20695.82451,20575.92451,20695.82451,119.89999999999782,0.5827198672979473
QQQ_Lev_Daily,QQQL,2026-03-31,22783.174509999997,22815.87451,22783.174509999997,-32.700000000004366,-0.14332126513788562
QQQ_Lev_Daily,QQQL,2026-04-01,23611.57451,23600.67451,23611.57451,10.899999999997817,0.046185120664154346
QQQ_Lev_Daily,QQQL,2026-04-02,23660.624509999994,23633.37451,23660.624509999994,27.249999999992724,0.11530304311160651
QQQ_Lev_Daily,QQQL,2026-04-06,24085.72451,24036.67451,24085.72451,49.04999999999927,0.20406317013442501
QQQ_Lev_Daily,QQQL,2026-04-07,24094.25131054238,24094.25131054238,24094.25131054238,0.0,0.0
QQQ_Lev_Daily,QQQL,2026-04-08,26245.704049535605,26245.704049535605,26245.704049535605,0.0,0.0
QQQ_Lev_Daily,QQQL,2026-04-09,26816.399999999998,26816.4,26816.399999999998,-3.637978807091713e-12,-1.3566246054995124e-14
QQQ_Lev_Daily,QQQL,2026-04-10,26854.55,26849.1,26854.55,5.450000000000728,0.020298631983942585
QQQ_Lev_Daily,QQQL,2026-04-13,27317.8,27655.6999168396,27317.8,-337.89991683960034,-1.221809311844075
QQQ_Lev_Daily,QQQL,2026-04-14,29159.9,29121.75,29159.9,38.150000000001455,0.13100174268373793
QQQ_Lev_Daily,QQQL,2026-04-15,30397.10538482666,30288.05,30397.10538482666,109.05538482666088,0.36006076596763703
QQQ_Lev_Daily,QQQL,2026-04-16,30800.35,30702.25,30800.35,98.09999999999854,0.3195205563110148
QQQ_Lev_Daily,QQQL,2026-04-17,31983.0,32015.7,31983.0,-32.70000000000073,-0.1021373888436009
QQQ_Lev_Daily,QQQL,2026-04-20,31694.15,31688.7,31694.15,5.450000000000728,0.017198559738962872
QQQ_Lev_Daily,QQQL,2026-04-21,31323.55,31329.0,31323.55,-5.450000000000728,-0.017396022854226843
QQQ_Trend_Intraday,QQQT,2026-03-23,19839.620000000003,19839.620000000003,19839.620000000003,0.0,0.0
QQQ_Trend_Intraday,QQQT,2026-03-24,19839.620000000003,19839.620000000003,19839.620000000003,0.0,0.0
QQQ_Trend_Intraday,QQQT,2026-03-25,19778.239597167973,19787.150241699223,19778.239597167973,-8.91064453125,-0.04503248028345085
QQQ_Trend_Intraday,QQQT,2026-03-26,19649.990698604917,19649.99069860492,19649.990698604917,-3.637978807091713e-12,-1.8513895822607164e-14
QQQ_Trend_Intraday,QQQT,2026-03-27,19638.752124462924,19638.752124462924,19638.752124462924,0.0,0.0
QQQ_Trend_Intraday,QQQT,2026-03-30,19638.320000000003,19638.320000000003,19638.320000000003,0.0,0.0
QQQ_Trend_Intraday,QQQT,2026-03-31,19953.500000000004,19965.740000000005,19953.500000000004,-12.2400000000016,-0.061305015491545004
QQQ_Trend_Intraday,QQQT,2026-04-01,20193.88,20191.500000000004,20193.88,2.3799999999973807,0.01178713815217978
QQQ_Trend_Intraday,QQQT,2026-04-02,20212.580000000005,20207.140000000007,20212.580000000005,5.43999999999869,0.026921177366013637
QQQ_Trend_Intraday,QQQT,2026-04-06,20336.680000000004,20322.740000000005,20336.680000000004,13.93999999999869,0.06859311293653654
QQQ_Trend_Intraday,QQQT,2026-04-07,20175.441747425964,20175.441747425964,20175.441747425964,0.0,0.0
QQQ_Trend_Intraday,QQQT,2026-04-08,20234.628169207048,20234.628169207048,20234.628169207048,0.0,0.0
QQQ_Trend_Intraday,QQQT,2026-04-09,20428.599999999995,20428.599999999995,20428.599999999995,0.0,0.0
QQQ_Trend_Intraday,QQQT,2026-04-10,20444.109999999997,20441.14,20444.109999999997,2.969999999997526,0.01452952232604212
QQQ_Trend_Intraday,QQQT,2026-04-13,20561.26,20650.360483398435,20561.26,-89.10048339843706,-0.43147180636419463
QQQ_Trend_Intraday,QQQT,2026-04-14,21019.3,21007.09,21019.3,12.209999999999127,0.05812323363206959
QQQ_Trend_Intraday,QQQT,2026-04-15,21313.329355468748,21288.58,21313.329355468748,24.749355468746217,0.11625648807363485
QQQ_Trend_Intraday,QQQT,2026-04-16,21412.0,21387.91,21412.0,24.090000000000146,0.11263372625001764
QQQ_Trend_Intraday,QQQT,2026-04-17,21686.229999999996,21693.49,21686.229999999996,-7.260000000005675,-0.033466261076505785
QQQ_Trend_Intraday,QQQT,2026-04-20,21625.51,21625.51,21625.51,0.0,0.0
